Restaurant Name,City,Cuisines,Average Cost for two,Price range,Has Online delivery,Has Table booking,Votes,Aggregate rating,Longitude,Latitude,price_bucket,content
Pt. Babu Ram Devi Dayal Paranthe Wale,New Delhi,north indian,150,1,offline,offline,53,3.0,77.2307138,28.6560495,cheap,north indian New Delhi cheap offline offline
Rabri Bhandar,New Delhi,mithai,150,1,offline,offline,7,3.2,77.2305013,28.6561097,cheap,mithai New Delhi cheap offline offline
Ram Parshad Makhan Lal,New Delhi,mithai,100,1,offline,offline,23,3.4,77.2155012,28.6625615,cheap,mithai New Delhi cheap offline offline
Rambhoj,New Delhi,"north indian, south indian",150,1,offline,offline,4,2.9,77.2324772,28.6562981,cheap,"north indian, south indian New Delhi cheap offline offline"
Rehmatullah's Hotel,New Delhi,mughlai,100,1,offline,offline,5,3.0,77.233555,28.6491441,cheap,mughlai New Delhi cheap offline offline
Sharma Bhojnalay,New Delhi,north indian,100,1,offline,offline,9,3.0,77.2306151,28.6559026,cheap,north indian New Delhi cheap offline offline
Shree Balaji Chaat Bhandar,New Delhi,street food,100,1,offline,offline,16,3.2,77.2320281,28.656524,cheap,street food New Delhi cheap offline offline
Shri Duli Chand Naresh Gupta,New Delhi,desserts,100,1,offline,offline,18,3.4,77.2269535,28.6476635,cheap,desserts New Delhi cheap offline offline
Shri Hari Sharnam,New Delhi,"north indian, south indian",400,1,offline,offline,14,3.1,77.222732,28.6577424,moderate,"north indian, south indian New Delhi moderate offline offline"
Sindhi Chicken,New Delhi,north indian,400,1,offline,offline,7,2.9,77.2316689,28.6573856,moderate,north indian New Delhi moderate offline offline
Soni Bhojnalaya,New Delhi,north indian,300,1,offline,offline,4,3.0,77.223481,28.657748,moderate,north indian New Delhi moderate offline offline
Super Restaurant,New Delhi,north indian,250,1,offline,offline,5,2.9,77.2320281,28.6567032,moderate,north indian New Delhi moderate offline offline
Tiwari Ji Confectioner,New Delhi,street food,100,1,offline,offline,5,3.1,77.2306809,28.6561268,cheap,street food New Delhi cheap offline offline
Wah Ji Wah,New Delhi,"north indian, chinese",450,1,offline,offline,59,2.8,77.2328586,28.6562478,moderate,"north indian, chinese New Delhi moderate offline offline"
Zaika Mughlai Foods,New Delhi,"mughlai, biryani",550,2,offline,offline,10,3.3,77.2233607,28.6566379,moderate,"mughlai, biryani New Delhi moderate offline offline"
Al Yousuf,New Delhi,mughlai,200,1,offline,offline,30,3.7,77.2254715,28.6551819,cheap,mughlai New Delhi cheap offline offline
Amritsari Lassi Wala,New Delhi,beverages,100,1,offline,offline,112,3.8,77.2234007,28.6567084,cheap,beverages New Delhi cheap offline offline
Annapurna Bhandar,New Delhi,mithai,100,1,offline,offline,59,3.8,77.2323664,28.6563295,cheap,mithai New Delhi cheap offline offline
Bishan Swaroop Chaat Bhandar,New Delhi,street food,150,1,offline,offline,40,3.7,77.2309504,28.6561525,cheap,street food New Delhi cheap offline offline
Gole Hatti,New Delhi,north indian,150,1,offline,offline,116,3.8,77.2230342,28.6572505,cheap,north indian New Delhi cheap offline offline
Haldiram's,New Delhi,"north indian, south indian, chinese, street food, fast food, mithai, desserts",600,2,offline,offline,444,3.9,77.2316689,28.6563106,moderate,"north indian, south indian, chinese, street food, fast food, mithai, desserts New Delhi moderate offline offline"
Kanwarji's,New Delhi,"street food, chinese, north indian, mithai",300,1,offline,offline,163,3.9,77.2307707,28.6562249,moderate,"street food, chinese, north indian, mithai New Delhi moderate offline offline"
Kedarnath Prem Chand Halwai,New Delhi,"mithai, street food",100,1,offline,offline,19,3.7,77.229983,28.6556971,cheap,"mithai, street food New Delhi cheap offline offline"
Keventers,New Delhi,beverages,400,1,offline,offline,63,3.7,77.2314893,28.6562039,moderate,beverages New Delhi moderate offline offline
Khan Omelette Corner,New Delhi,fast food,150,1,offline,offline,43,3.6,77.2215109,28.6551982,cheap,fast food New Delhi cheap offline offline
Natraj Dahi Bhalle Wala,New Delhi,street food,100,1,offline,offline,1487,3.9,77.2305013,28.6561992,cheap,street food New Delhi cheap offline offline
Old Famous Jalebi Wala,New Delhi,"mithai, street food",100,1,offline,offline,752,3.9,77.233555,28.6561321,cheap,"mithai, street food New Delhi cheap offline offline"
Pt. Gaya Prasad Shiv Charan Paranthe Wale,New Delhi,north indian,150,1,offline,offline,437,3.6,77.2304115,28.6561011,cheap,north indian New Delhi cheap offline offline
Pt.Kanhaiyalal & Durga Prasad Dixit Paranthe Wale,New Delhi,north indian,150,1,offline,offline,297,3.6,77.2304674,28.6560207,cheap,north indian New Delhi cheap offline offline
Shiv Misthan Bhandar,New Delhi,"mithai, street food",100,1,offline,offline,76,3.8,77.2243039,28.6568622,cheap,"mithai, street food New Delhi cheap offline offline"
Special Jalebi Wala,New Delhi,mithai,100,1,offline,offline,21,3.5,77.2320562,28.6566115,cheap,mithai New Delhi cheap offline offline
Tewari Bros Confectioners,New Delhi,"street food, north indian, south indian, mithai",200,1,offline,offline,51,3.5,77.2266392,28.6566371,cheap,"street food, north indian, south indian, mithai New Delhi cheap offline offline"
Annapurna Chaat & Sweets,New Delhi,street food,100,1,offline,offline,1,0.0,77.2315132,28.6562432,cheap,street food New Delhi cheap offline offline
Delhi-6 The Chicken Planet,New Delhi,"biryani, mughlai",300,1,offline,offline,0,0.0,0.0,0.0,moderate,"biryani, mughlai New Delhi moderate offline offline"
Dessi Food,New Delhi,street food,100,1,offline,offline,0,0.0,77.2319961,28.6574304,cheap,street food New Delhi cheap offline offline
Foody Dragon,New Delhi,chinese,300,1,offline,offline,0,0.0,77.2319612,28.6572972,moderate,chinese New Delhi moderate offline offline
Grover Eating Point,New Delhi,north indian,200,1,offline,offline,1,0.0,77.2352925,28.6570185,cheap,north indian New Delhi cheap offline offline
Hotel 121 Shakahari,New Delhi,north indian,300,1,offline,offline,2,0.0,77.2234506,28.657811,moderate,north indian New Delhi moderate offline offline
Lala Chaap Corner,New Delhi,fast food,200,1,offline,offline,0,0.0,77.233113,28.6526767,cheap,fast food New Delhi cheap offline offline
Meghraj & Sons,New Delhi,"street food, mithai",200,1,offline,offline,3,0.0,77.2233158,28.6565888,cheap,"street food, mithai New Delhi cheap offline offline"
Old Kheer Shop,New Delhi,desserts,100,1,offline,offline,3,0.0,77.225538,28.65045,cheap,desserts New Delhi cheap offline offline
Punjabi Chicken,New Delhi,north indian,400,1,offline,offline,0,0.0,77.2316689,28.6573856,moderate,north indian New Delhi moderate offline offline
Ratan Singh,New Delhi,mithai,50,1,offline,offline,0,0.0,77.2338244,28.6531118,cheap,mithai New Delhi cheap offline offline
Shri Bhujia Bhandar,New Delhi,"street food, mithai",100,1,offline,offline,2,0.0,0.0,0.0,cheap,"street food, mithai New Delhi cheap offline offline"
Chaina Ram Sindhi Confectioners,New Delhi,"mithai, street food",200,1,offline,offline,382,4.2,77.2235803,28.6566622,cheap,"mithai, street food New Delhi cheap offline offline"
Giani's di Hatti,New Delhi,"ice cream, mithai, north indian, street food",150,1,offline,offline,521,4.3,77.2233575,28.6579744,cheap,"ice cream, mithai, north indian, street food New Delhi cheap offline offline"
Jung Bahadur Kachori Wala,New Delhi,street food,50,1,online,offline,405,4.1,77.2298726,28.6556914,cheap,street food New Delhi cheap online offline
Lakhori - Haveli Dharampura,New Delhi,"mughlai, street food",3000,4,offline,offline,305,4.4,77.2322078,28.653316,expensive,"mughlai, street food New Delhi expensive offline offline"
Milk n More,New Delhi,"desserts, street food",100,1,offline,offline,6,3.1,77.2310851,28.650566,cheap,"desserts, street food New Delhi cheap offline offline"
Kuremal Mohan Lal Kulfi Wale,New Delhi,ice cream,200,1,offline,offline,545,4.5,77.2270433,28.6477617,cheap,ice cream New Delhi cheap offline offline
Hira Chaat Corner,New Delhi,street food,100,1,offline,offline,18,3.6,77.2293337,28.6501751,cheap,street food New Delhi cheap offline offline
Kuremal Mahavir Prasad Kulfi Wale,New Delhi,ice cream,300,1,offline,offline,36,3.9,77.2268188,28.6476059,moderate,ice cream New Delhi moderate offline offline
Shakahari Restaurant,New Delhi,north indian,300,1,offline,offline,185,3.6,77.2270883,28.649513,moderate,north indian New Delhi moderate offline offline
Shri Gujrat Namkeen Bhandar,New Delhi,"street food, mithai",100,1,offline,offline,27,3.6,77.2293345,28.6501776,cheap,"street food, mithai New Delhi cheap offline offline"
Standard Sweets,New Delhi,"mithai, north indian",200,1,offline,offline,31,3.6,77.2273577,28.6494491,cheap,"mithai, north indian New Delhi cheap offline offline"
Sudarshan,New Delhi,"street food, beverages",150,1,offline,offline,54,3.7,77.2302935,28.6504067,cheap,"street food, beverages New Delhi cheap offline offline"
Ustad Moinuddin Kebab,New Delhi,fast food,100,1,offline,offline,21,3.7,77.2261003,28.6498667,cheap,fast food New Delhi cheap offline offline
Ashok Chaat Corner,New Delhi,street food,100,1,offline,offline,118,4.1,77.2268745,28.6493909,cheap,street food New Delhi cheap offline offline
Jain Coffee House,New Delhi,"fast food, beverages",150,1,offline,offline,169,4.1,77.2295582,28.65051,cheap,"fast food, beverages New Delhi cheap offline offline"
Shyam Sweets,New Delhi,"mithai, street food",150,1,offline,offline,200,4.1,77.2303113,28.6504756,cheap,"mithai, street food New Delhi cheap offline offline"
Spicy Food Court,New Delhi,"north indian, mughlai, chinese",500,2,online,offline,23,2.7,77.16154855,28.49562447,moderate,"north indian, mughlai, chinese New Delhi moderate online offline"
Aristocrat Sweet Shop,New Delhi,"mithai, bakery",300,1,offline,offline,7,3.1,77.24861238,28.5400835,moderate,"mithai, bakery New Delhi moderate offline offline"
Balluchi's - The Royal Cuisine,New Delhi,"north indian, mughlai, chinese",800,2,offline,online,4,3.0,77.2518548,28.5399184,expensive,"north indian, mughlai, chinese New Delhi expensive offline online"
Bunty Dhaba,New Delhi,"north indian, chinese",500,2,offline,offline,26,3.2,77.25204963,28.53972535,moderate,"north indian, chinese New Delhi moderate offline offline"
Gopal's Restaurant & Caterer's,New Delhi,"north indian, fast food",300,1,offline,offline,22,2.7,77.24894397,28.54027996,moderate,"north indian, fast food New Delhi moderate offline offline"
Horn Please,New Delhi,"north indian, mughlai, chinese",1000,3,online,online,70,3.0,77.2564223,28.5374979,expensive,"north indian, mughlai, chinese New Delhi expensive online online"
Khatey Raho,New Delhi,"north indian, mughlai, fast food, south indian",250,1,offline,offline,26,3.3,77.2488511,28.5401398,moderate,"north indian, mughlai, fast food, south indian New Delhi moderate offline offline"
Kolkata Biryani House,New Delhi,"north indian, mughlai, biryani",500,2,online,offline,404,3.4,77.24887993,28.54032355,moderate,"north indian, mughlai, biryani New Delhi moderate online offline"
Kolkata Hot Kathi Roll,New Delhi,fast food,150,1,offline,offline,35,3.2,77.2485628,28.5401027,cheap,fast food New Delhi cheap offline offline
Madly Bangalee,New Delhi,"mughlai, north indian, bengali, continental",400,1,offline,offline,135,2.7,77.2533122,28.5363941,moderate,"mughlai, north indian, bengali, continental New Delhi moderate offline offline"
Oh! China,New Delhi,"chinese, thai",600,2,online,offline,16,2.9,77.24785432,28.54140536,moderate,"chinese, thai New Delhi moderate online offline"
Punjabi Zaika,New Delhi,"chinese, mughlai, north indian",500,2,online,offline,39,2.9,77.2534878,28.5364501,moderate,"chinese, mughlai, north indian New Delhi moderate online offline"
Rabi Snacks Corner,New Delhi,fast food,300,1,offline,offline,18,3.4,77.24898689,28.5401377,moderate,fast food New Delhi moderate offline offline
Republic of Chicken,New Delhi,"raw meats, fast food",400,1,offline,offline,29,2.7,77.2534614,28.5364925,moderate,"raw meats, fast food New Delhi moderate offline offline"
Roll n Roast,New Delhi,"north indian, chinese",250,1,offline,offline,27,3.3,77.24858187,28.54001105,moderate,"north indian, chinese New Delhi moderate offline offline"
Roller's High,New Delhi,"north indian, mughlai",500,2,offline,offline,13,3.2,0.0,0.0,moderate,"north indian, mughlai New Delhi moderate offline offline"
Royal Chick 'N',New Delhi,"mughlai, north indian, chinese",300,1,online,offline,18,3.3,77.2481801,28.5414227,moderate,"mughlai, north indian, chinese New Delhi moderate online offline"
Royal Kolkata Biryani,New Delhi,"north indian, chinese, biryani",500,2,offline,offline,14,2.7,77.2487302,28.5404268,moderate,"north indian, chinese, biryani New Delhi moderate offline offline"
Sameer's Restaurant,New Delhi,"north indian, mughlai, chinese",600,2,online,offline,59,2.5,77.2533324,28.53629071,moderate,"north indian, mughlai, chinese New Delhi moderate online offline"
Sanjha Chulha,New Delhi,"north indian, mughlai",550,2,offline,offline,70,2.7,77.25324858,28.53638025,moderate,"north indian, mughlai New Delhi moderate offline offline"
Shepherd's,New Delhi,fast food,250,1,offline,offline,9,3.1,0.0,0.0,moderate,fast food New Delhi moderate offline offline
Soya King,New Delhi,north indian,350,1,online,offline,71,2.6,77.2532497,28.5364506,moderate,north indian New Delhi moderate online offline
Tasty Tonight,New Delhi,"north indian, mughlai, chinese",1000,3,offline,offline,5,3.1,0.0,0.0,expensive,"north indian, mughlai, chinese New Delhi expensive offline offline"
The Mustard,New Delhi,bengali,500,2,online,offline,7,2.9,77.248798,28.540204,moderate,bengali New Delhi moderate online offline
Tibb's Frankie,New Delhi,fast food,250,1,offline,offline,16,3.2,77.2534364,28.5363915,moderate,fast food New Delhi moderate offline offline
Wazwaan Restaurant,New Delhi,"north indian, kashmiri",1200,3,offline,online,14,3.2,77.2417726,28.5426944,expensive,"north indian, kashmiri New Delhi expensive offline online"
Yummi Kolkataa,New Delhi,mithai,150,1,offline,offline,17,3.2,77.248847,28.5399215,cheap,mithai New Delhi cheap offline offline
Annapurna Sweet House,New Delhi,"mithai, street food",150,1,offline,offline,55,3.7,77.25338604,28.53622797,cheap,"mithai, street food New Delhi cheap offline offline"
Ashirbad,New Delhi,fast food,100,1,offline,offline,46,3.6,77.2431467,28.5408504,cheap,fast food New Delhi cheap offline offline
Chocolatiers - The Chocolate Boutique,New Delhi,desserts,100,1,online,offline,112,3.8,77.248454,28.5371718,cheap,desserts New Delhi cheap online offline
Dadu Cutlet Shop,New Delhi,fast food,100,1,offline,offline,99,3.7,77.25329351,28.53622856,cheap,fast food New Delhi cheap offline offline
Dogs & Wiches,New Delhi,"continental, american, fast food",600,2,online,offline,109,3.9,77.2530626,28.53681321,moderate,"continental, american, fast food New Delhi moderate online offline"
Maa Tara,New Delhi,"bengali, north indian",500,2,online,offline,458,3.6,77.2532976,28.5362306,moderate,"bengali, north indian New Delhi moderate online offline"
My Spice Kitchen,New Delhi,"north indian, mughlai, biryani, bengali",650,2,online,offline,443,3.5,77.2487359,28.5403982,expensive,"north indian, mughlai, biryani, bengali New Delhi expensive online offline"
The Singing Tree,New Delhi,beverages,100,1,offline,offline,33,3.7,77.2488222,28.5403609,cheap,beverages New Delhi cheap offline offline
Baba Chicken Ludhiana Wale,New Delhi,north indian,400,1,offline,offline,0,0.0,77.24996019,28.54047929,moderate,north indian New Delhi moderate offline offline
Bengal Snacks,New Delhi,fast food,300,1,offline,offline,2,0.0,77.24868078,28.54036184,moderate,fast food New Delhi moderate offline offline
Brownies & More,New Delhi,"bakery, fast food",100,1,offline,offline,2,0.0,77.2485055,28.5371328,cheap,"bakery, fast food New Delhi cheap offline offline"
Cafe Coffee Day,New Delhi,cafe,450,1,offline,offline,1,0.0,77.2530302,28.5393728,moderate,cafe New Delhi moderate offline offline
Craving Cure,New Delhi,chinese,300,1,offline,offline,2,0.0,77.2533385,28.5366561,moderate,chinese New Delhi moderate offline offline
Cuisine,New Delhi,"north indian, mughlai, chinese",1500,3,offline,online,1,0.0,77.2417726,28.5426944,expensive,"north indian, mughlai, chinese New Delhi expensive offline online"
Food Nation,New Delhi,"north indian, chinese",400,1,offline,offline,0,0.0,0.0,0.0,moderate,"north indian, chinese New Delhi moderate offline offline"
Kamala Fast Food & Chinese,New Delhi,"fast food, chinese",300,1,offline,offline,2,0.0,77.25298069,28.5359835,moderate,"fast food, chinese New Delhi moderate offline offline"
Lokenath Sweets,New Delhi,mithai,150,1,offline,offline,2,0.0,77.2484567,28.5371718,cheap,mithai New Delhi cheap offline offline
Me and My Cake,New Delhi,"bakery, desserts",500,2,offline,offline,0,0.0,0.0,0.0,moderate,"bakery, desserts New Delhi moderate offline offline"
Chulha Punjabi Da,New Delhi,"north indian, chinese, fast food",600,2,online,offline,41,2.4,77.25327071,28.53634285,moderate,"north indian, chinese, fast food New Delhi moderate online offline"
Viva Hyderabad,New Delhi,"biryani, north indian",600,2,online,offline,38,2.3,77.2529294,28.53692899,moderate,"biryani, north indian New Delhi moderate online offline"
Metro Grill,New Delhi,"north indian, mughlai, chinese",1200,3,offline,online,134,3.4,77.1142232,28.7168739,expensive,"north indian, mughlai, chinese New Delhi expensive offline online"
Cafe Cruise,New Delhi,"continental, north indian, chinese",1300,3,online,online,153,2.8,77.1232509,28.6501775,expensive,"continental, north indian, chinese New Delhi expensive online online"
Etal The Lounge Bar,New Delhi,"north indian, italian, fast food",2000,4,offline,online,455,3.2,77.123654,28.6502181,expensive,"north indian, italian, fast food New Delhi expensive offline online"
"Game of Legends - Sports Bar, Grill, & Lounge",New Delhi,"north indian, chinese, continental, italian",1450,3,offline,online,609,3.5,77.1233229,28.650366,expensive,"north indian, chinese, continental, italian New Delhi expensive offline online"
Al-raaya,New Delhi,"mughlai, north indian",600,2,online,offline,6,3.1,77.220848,28.671114,moderate,"mughlai, north indian New Delhi moderate online offline"
Authentique Bites,New Delhi,"bakery, desserts",300,1,offline,offline,17,3.2,77.2253817,28.6764039,moderate,"bakery, desserts New Delhi moderate offline offline"
Embassy,New Delhi,"chinese, north indian, mughlai",1200,3,online,online,126,3.0,77.2252021,28.6766555,expensive,"chinese, north indian, mughlai New Delhi expensive online online"
Narang's Bake 'n' Cake,New Delhi,"bakery, desserts, fast food",400,1,offline,offline,4,3.0,77.222238,28.7027947,moderate,"bakery, desserts, fast food New Delhi moderate offline offline"
New Darvesh,New Delhi,"chinese, south indian",150,1,offline,offline,14,3.0,77.2203223,28.6976361,cheap,"chinese, south indian New Delhi cheap offline offline"
1UP,New Delhi,"cafe, italian, continental",1200,3,offline,online,282,3.5,77.2252161,28.6762903,expensive,"cafe, italian, continental New Delhi expensive offline online"
Gujarati Samaj Santushti,New Delhi,gujarati,300,1,offline,offline,95,3.6,77.2241691,28.6722125,moderate,gujarati New Delhi moderate offline offline
Hind Bakery & Chinese Fast Food,New Delhi,fast food,150,1,offline,offline,0,0.0,77.2222477,28.7028124,cheap,fast food New Delhi cheap offline offline
Hot Pot,New Delhi,chinese,150,1,offline,offline,0,0.0,77.2213398,28.7008282,cheap,chinese New Delhi cheap offline offline
Punjabi Flavour,New Delhi,north indian,100,1,offline,offline,0,0.0,77.2212499,28.6919529,cheap,north indian New Delhi cheap offline offline
Saras Fast Food Feast,New Delhi,"north indian, south indian",300,1,offline,offline,0,0.0,77.2224176,28.6726275,moderate,"north indian, south indian New Delhi moderate offline offline"
Shama Chicken Corner,New Delhi,"biryani, mughlai",300,1,offline,offline,0,0.0,77.2211471,28.6917878,moderate,"biryani, mughlai New Delhi moderate offline offline"
The Night Owl,New Delhi,chinese,450,1,offline,offline,1,0.0,77.2255613,28.6765107,moderate,chinese New Delhi moderate offline offline
Wimpy Sweets And Confectioners,New Delhi,"bakery, mithai",150,1,offline,offline,1,0.0,77.2204415,28.6975181,cheap,"bakery, mithai New Delhi cheap offline offline"
Boa Village,New Delhi,"chinese, japanese, korean, asian",1500,3,offline,online,225,4.0,77.2252919,28.6767537,expensive,"chinese, japanese, korean, asian New Delhi expensive offline online"
Anand Ji Restaurant,New Delhi,"chinese, north indian, street food",400,1,offline,offline,28,3.1,77.26811942,28.56171513,moderate,"chinese, north indian, street food New Delhi moderate offline offline"
Baskin Robbins,New Delhi,ice cream,300,1,online,offline,38,3.3,77.2683524,28.5620725,moderate,ice cream New Delhi moderate online offline
Bhoj Restaurant,New Delhi,"north indian, mughlai",600,2,offline,offline,54,2.8,77.26825587,28.56150782,moderate,"north indian, mughlai New Delhi moderate offline offline"
Brijwasi Restaurant,New Delhi,"north indian, chinese",400,1,offline,offline,32,2.8,77.268392,28.56159321,moderate,"north indian, chinese New Delhi moderate offline offline"
Cafe Coffee Day - The Lounge,New Delhi,cafe,750,2,offline,offline,42,3.2,77.2690337,28.562628,expensive,cafe New Delhi expensive offline offline
Cafe Coffee Day,New Delhi,cafe,450,1,offline,offline,10,2.9,77.26926506,28.5624519,moderate,cafe New Delhi moderate offline offline
Chaat Tadka,New Delhi,"north indian, street food, mithai",300,1,offline,offline,27,2.8,77.26820022,28.56128843,moderate,"north indian, street food, mithai New Delhi moderate offline offline"
Chawla's Unique Chicken Corner,New Delhi,"north indian, mughlai",600,2,online,offline,35,3.2,77.26839837,28.56136028,moderate,"north indian, mughlai New Delhi moderate online offline"
Dawat Khana,New Delhi,"north indian, mughlai, chinese",1600,3,online,online,82,2.5,77.2688013,28.562384,expensive,"north indian, mughlai, chinese New Delhi expensive online online"
Eat n Joy,New Delhi,"north indian, mughlai",500,2,offline,offline,24,3.2,77.2684871,28.5614129,moderate,"north indian, mughlai New Delhi moderate offline offline"
Khan Chicken Biryani,New Delhi,north indian,500,2,offline,offline,14,2.9,77.26784986,28.56181849,moderate,north indian New Delhi moderate offline offline
Kolkata Roll,New Delhi,fast food,200,1,offline,offline,16,2.8,77.2685365,28.56132406,cheap,fast food New Delhi cheap offline offline
R. Ahmad Food,New Delhi,north indian,450,1,offline,offline,11,3.0,77.269169,28.562686,moderate,north indian New Delhi moderate offline offline
Sab Ke Khatir,New Delhi,"north indian, mughlai",600,2,offline,offline,14,3.1,77.268562,28.560994,moderate,"north indian, mughlai New Delhi moderate offline offline"
Bon Bon Pastry Shop,New Delhi,"bakery, desserts, fast food",150,1,offline,offline,91,3.5,77.26831857,28.56217362,cheap,"bakery, desserts, fast food New Delhi cheap offline offline"
Moksha,New Delhi,north indian,1400,3,online,online,110,3.7,77.26906691,28.56231173,expensive,north indian New Delhi expensive online online
Pebble Street,New Delhi,"italian, tex mex, continental, north indian",2400,4,online,online,886,3.9,77.26893816,28.56253759,expensive,"italian, tex mex, continental, north indian New Delhi expensive online online"
Kebab Gallery,New Delhi,"north indian, lucknowi",400,1,offline,offline,3,0.0,77.26817206,28.56203051,moderate,"north indian, lucknowi New Delhi moderate offline offline"
Amber,New Delhi,"north indian, chinese, mughlai",1800,3,online,online,152,2.6,77.2208907,28.6301966,expensive,"north indian, chinese, mughlai New Delhi expensive online online"
Attitude Kitchen & Bar,New Delhi,"north indian, continental, italian",1300,3,offline,online,140,2.9,77.22035229,28.63004355,expensive,"north indian, continental, italian New Delhi expensive offline online"
Cafe Coffee Day,New Delhi,cafe,450,1,online,offline,277,3.4,77.2198128,28.6329609,moderate,cafe New Delhi moderate online offline
Castle 9,New Delhi,"finger food, continental, north indian, chinese",1350,3,offline,online,1099,3.1,77.2194984,28.6348572,expensive,"finger food, continental, north indian, chinese New Delhi expensive offline online"
Costa Coffee,New Delhi,cafe,600,2,offline,offline,76,3.4,77.2321919,28.62925605,moderate,cafe New Delhi moderate offline offline
Delhi Darbar Dhaba,New Delhi,"north indian, chinese",400,1,online,offline,89,3.2,77.2298312,28.6305968,moderate,"north indian, chinese New Delhi moderate online offline"
Garam Dharam,New Delhi,north indian,1300,3,online,offline,1523,3.4,77.2226871,28.6317119,expensive,north indian New Delhi expensive online offline
Gola Sizzlers,New Delhi,"chinese, north indian, mughlai, continental",1600,3,online,offline,671,3.0,77.2198577,28.6352499,expensive,"chinese, north indian, mughlai, continental New Delhi expensive online offline"
Indian Coffee House,New Delhi,fast food,200,1,offline,offline,1300,3.3,77.2160401,28.6305402,cheap,fast food New Delhi cheap offline offline
My Bar Lounge & Restaurant,New Delhi,"north indian, chinese, italian, continental",1000,3,offline,offline,2460,2.7,77.2165791,28.6323836,expensive,"north indian, chinese, italian, continental New Delhi expensive offline offline"
My Bar Square,New Delhi,"north indian, chinese, italian, continental",1000,3,offline,offline,1096,2.5,77.2213398,28.6328378,expensive,"north indian, chinese, italian, continental New Delhi expensive offline offline"
Sagar Ratna,New Delhi,"south indian, north indian, chinese",600,2,online,offline,499,3.4,77.220409,28.6356827,moderate,"south indian, north indian, chinese New Delhi moderate online offline"
The Immigrant Cafe,New Delhi,"north indian, italian, continental",1100,3,offline,online,563,3.2,77.2190044,28.6340485,expensive,"north indian, italian, continental New Delhi expensive offline online"
MOB Brewpub,New Delhi,"continental, italian, asian, indian",1500,3,offline,offline,52,4.7,77.2226422,28.6332756,expensive,"continental, italian, asian, indian New Delhi expensive offline offline"
Naturals Ice Cream,New Delhi,ice cream,150,1,online,offline,2620,4.9,77.2221482,28.6343484,cheap,ice cream New Delhi cheap online offline
Zabardast Indian Kitchen,New Delhi,north indian,1800,3,online,online,242,4.7,77.22217988,28.63259937,expensive,north indian New Delhi expensive online online
Anand Restaurant,New Delhi,north indian,550,2,offline,offline,485,3.6,77.2208008,28.6290232,moderate,north indian New Delhi moderate offline offline
Berco's,New Delhi,"chinese, thai",1100,3,online,online,2639,3.9,77.2172977,28.6324521,expensive,"chinese, thai New Delhi expensive online online"
Blues,New Delhi,"continental, mexican, american, italian, north indian",1100,3,offline,offline,706,3.7,77.22061079,28.62986493,expensive,"continental, mexican, american, italian, north indian New Delhi expensive offline offline"
Burger King,New Delhi,"burger, fast food",500,2,online,offline,2093,3.8,77.2212499,28.6327396,moderate,"burger, fast food New Delhi moderate online offline"
Burger Singh,New Delhi,"burger, juices, finger food",500,2,online,offline,548,3.6,77.21751753,28.63432028,moderate,"burger, juices, finger food New Delhi moderate online offline"
Cafe Coffee Day The Square,New Delhi,cafe,700,2,offline,offline,361,3.6,77.21993454,28.63372555,expensive,cafe New Delhi expensive offline offline
Cafe Dalal Street,New Delhi,"north indian, european",1500,3,online,offline,873,3.7,77.2228667,28.6332522,expensive,"north indian, european New Delhi expensive online offline"
Cafe Hawkers,New Delhi,"chinese, continental, north indian",1200,3,offline,online,673,3.7,77.2211601,28.6346126,expensive,"chinese, continental, north indian New Delhi expensive offline online"
Cafe Public Connection,New Delhi,"north indian, continental, italian",1200,3,offline,online,834,3.7,77.2202619,28.6314806,expensive,"north indian, continental, italian New Delhi expensive offline online"
Caf�� MRP,New Delhi,"north indian, chinese, italian, mediterranean",800,2,offline,offline,877,3.6,77.2208907,28.6344973,expensive,"north indian, chinese, italian, mediterranean New Delhi expensive offline offline"
Caffe Tonino,New Delhi,"pizza, italian, cafe",1400,3,online,offline,1503,3.9,77.2194535,28.6348977,expensive,"pizza, italian, cafe New Delhi expensive online offline"
Cha Bar,New Delhi,cafe,500,2,offline,offline,3206,3.9,77.22215876,28.63122333,moderate,cafe New Delhi moderate offline offline
Chaayos,New Delhi,"cafe, tea",400,1,online,offline,487,3.9,77.22035263,28.63146522,moderate,"cafe, tea New Delhi moderate online offline"
Chew - Pan Asian Cafe,New Delhi,"asian, japanese, chinese, thai",1700,3,online,online,2003,3.9,77.2228218,28.6320384,expensive,"asian, japanese, chinese, thai New Delhi expensive online online"
China Garden,New Delhi,chinese,1800,3,offline,online,496,3.9,77.217118,28.6339581,expensive,chinese New Delhi expensive offline online
Desi Vibes,New Delhi,"north indian, mughlai",1400,3,online,online,841,3.9,77.2206488,28.6302469,expensive,"north indian, mughlai New Delhi expensive online online"
Domino's Pizza,New Delhi,"pizza, fast food",700,2,offline,offline,336,3.7,77.2228959,28.6332312,expensive,"pizza, fast food New Delhi expensive offline offline"
Dunkin' Donuts,New Delhi,"burger, desserts, fast food",600,2,online,offline,271,3.8,77.22320214,28.62801416,moderate,"burger, desserts, fast food New Delhi moderate online offline"
Dunkin' Donuts,New Delhi,"burger, desserts, fast food",600,2,offline,offline,1607,3.9,77.2196331,28.6301662,moderate,"burger, desserts, fast food New Delhi moderate offline offline"
Embassy,New Delhi,"north indian, continental, european",2000,4,online,online,706,3.5,77.2210029,28.6336789,expensive,"north indian, continental, european New Delhi expensive online online"
